channel,name,URL,topInfluencer,uploads,subs,views,dailyViews,weeklyViews,lastMonthViews,creationDate,days,subscribed,viewsPerUpload,viewsPerSubs,viewsPerDays,subsPerUpload,daysPerUpload,subs2019,lastUpload,uploadsLastFourMonths,uploadsLastWeek,ownsBrand,collabs,age
James Charles,James Charles,https://www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,y,268,18500000,2120667516,"3,182,011","22,274,077","95,460,305",12/1/2015,1613,y,7912938,115,1314735,69030,6,16534122,05/01/20,21,5,y,y,20
jeffreestar,Jeffree Star,https://www.youtube.com/user/jeffreestar,y,374,18100000,2297124899,"2,493,142","17,451,994","74,794,257",2/14/2006,5190,y,6142045,127,442606,48396,14,14300000,04/25/20,12,0,y,y,34
rclbeauty101,Rachel Levin,,y,441,14500000,3643172449,,,,12/14/2010,3426,n,8261162,251,1063390,32880,8,,,,,y,,
NikkieTutorials,Nikkie de Jager,https://www.youtube.com/user/NikkieTutorials,y,782,13300000,1305719085,"461,973","3,233,811","13,859,186",6/23/2008,4330,y,1669718,98,301552,17008,6,11800000,05/01/20,19,2,n,y,26
Macbarbie07,Bethany Mota,,y,424,10000000,987176967,,,,6/8/2009,3980,n,2328248,99,248034,23585,9,,,,,,,
GlamLifeGuru,Tati Westbrook,https://www.youtube.com/user/GlamLifeGuru,y,1671,9600000,1407346520,"351,111","2,457,777","10,533,307",11/9/2010,3461,y,842218,147,406630,5745,2,5900000,04/30/2020,35,2,y,n,38
michellephan,Michelle Phan,,y,254,8910000,1029680828,,,,7/18/2006,5036,n,4053862,116,204464,35079,20,,,,,,,
therosacuca,Kim RosaCuca,,y,872,8000000,776837585,,,,7/20/2014,2112,n,890869,97,367821,9174,2,,,,,,,
carlibel55,Carli Bybel,,n,568,6200000,613459252,,,,6/27/2011,3231,n,1080034,99,189867,10915,6,,,,,,y,
Jaclynhill1,Jacklyn Hill,https://www.youtube.com/user/Jaclynhill1,n,354,5900000,551097529,"133,944","937,608","4,018,296",9/7/2010,3524,y,1556773,93,156384,16667,10,5800000,04/21/20,5,0,y,y,29
